gene	cellType.target	mean.target	cellType.2nd	mean.2nd	MeanRatio	MeanRatio.rank	MeanRatio.anno
Ebf1	B cell	2.6012354747572	Endothelial	1.0189934296541	2.55274999725974	8	B cell/Endothelial: 2.553
Cd37	B cell	1.25560002282319	T cell	0.577688527199077	2.17348962928339	9	B cell/T cell: 2.173
Nr4a1	B cell	1.57526316922324	T cell	0.834142952494864	1.8884810625226	10	B cell/T cell: 1.888
Mef2c	B cell	1.60636571575211	Endothelial	0.895165091306818	1.79449101774852	11	B cell/Endothelial: 1.794
Kras	B cell	1.66269579982877	Neutrophil	0.938715488115203	1.77124572980809	12	B cell/Neutrophil: 1.771
H2-DMb2	B cell	0.907822205954363	DC	0.543250391342422	1.6710935149279	13	B cell/DC: 1.671
Smg1	B cell	0.92384758240973	Stromal	0.57265946943885	1.61325819568654	14	B cell/Stromal: 1.613
Klf2	B cell	1.53781746601689	Endothelial	1.0370380312189	1.4828939920452	15	B cell/Endothelial: 1.483
Sik1	B cell	0.96139719293116	T cell	0.675335438787366	1.42358469245661	16	B cell/T cell: 1.424
Tra2b	B cell	1.5676844092248	T cell	1.10123054179139	1.42357512776082	17	B cell/T cell: 1.424
Cd274	B cell	1.19077453226669	DC	0.853863155783613	1.39457303456768	18	B cell/DC: 1.395
Irf2bp2	B cell	1.69260371391686	Macrophage	1.21724092159434	1.39052482042741	19	B cell/Macrophage: 1.391
Matr3	B cell	1.23088070783408	T cell	0.88911111587797	1.38439469021667	20	B cell/T cell: 1.384
Hnrnpdl	B cell	0.964612804695252	Stromal	0.697712256142282	1.38253670650518	21	B cell/Stromal: 1.383
Cyth1	B cell	1.0701266479861	Macrophage	0.784070997882576	1.36483386182633	22	B cell/Macrophage: 1.365
Serp1	B cell	1.50464443757411	Macrophage	1.11114633697324	1.35413706323576	23	B cell/Macrophage: 1.354
Sp140	B cell	1.2027205083316	DC	0.908112811638663	1.32441750949568	24	B cell/DC: 1.324
Coro1a	B cell	1.38233720152978	NKC	1.13090920833142	1.22232376511403	25	B cell/NKC: 1.222
Rbm25	B cell	1.453034993991	Endothelial	1.1963375229545	1.21456943890095	26	B cell/Endothelial: 1.215
Ly6e	B cell	2.16647397363545	Macrophage	1.78657398918403	1.21264161839999	27	B cell/Macrophage: 1.213
Foxp1	B cell	1.69410021586199	Endothelial	1.40208518750171	1.20827195876779	28	B cell/Endothelial: 1.208
Stk17b	B cell	1.99188448793902	T cell	1.66290346401571	1.19783531097401	29	B cell/T cell: 1.198
mt-Nd5	B cell	1.62980037745149	Epithelial	1.36903590632402	1.19047306934969	30	B cell/Epithelial: 1.19
Clk1	B cell	1.59180599398945	T cell	1.36058085580997	1.16994590008532	31	B cell/T cell: 1.17
Serinc3	B cell	1.57723007643744	Macrophage	1.35211810244691	1.16648839593461	32	B cell/Macrophage: 1.166
Bclaf1	B cell	1.07449122690199	T cell	0.928911201334389	1.15672114337568	33	B cell/T cell: 1.157
Stap1	B cell	1.11724320135365	DC	0.966140678355151	1.15639805504903	34	B cell/DC: 1.156
Luc7l2	B cell	1.43958214675962	Endothelial	1.25253886588049	1.14933131895084	35	B cell/Endothelial: 1.149
Rab25	Epithelial	0.734207154798736	Endothelial	0.00350775200720692	209.309880883898	1	Epithelial/Endothelial: 209.31
Ckmt1	Epithelial	0.661753952609911	B cell	0.0033334337362899	198.520206178282	2	Epithelial/B cell: 198.52
